jumlah_kejahatan,risiko_penduduk,jumlah_desa/kelurahan_upaya,jumlah_desa/kelurahan_pospolisi,cluster,nama_daerah
0.24408184710587,0.365038560411311,0.42291565090199906,0.2732394366197183,1,Aceh
0.9494147523278553,0.5244215938303342,0.2756216479765968,0.39342723004694835,2,Sumatera Utara
0.3665314223999533,0.5552699228791773,0.10975134080936128,0.1539906103286385,3,Sumatera Barat
0.19994745906185235,0.21079691516709512,0.15275475377864456,0.4582159624413146,1,Riau
0.17271373945532562,0.39331619537275064,0.12481716235982446,0.13615023474178403,1,Jambi
0.38419101549957674,0.352185089974293,0.32218430034129697,0.29953051643192485,1,Sumatera Selatan
0.08736390437549257,0.38046272493573263,0.12652364700146268,0.06384976525821597,1,Bengkulu
0.25006567617268455,0.2082262210796915,0.31643100926377377,0.2046948356807512,1,Lampung
0.04822090545550074,0.29820051413881743,0.006338371526084831,0.027230046948356804,1,Kepulauan Bangka Belitung
0.08794769257713302,0.352185089974293,0.0017552413456850269,0.04788732394366198,1,Kepulauan Riau
1.0,0.2827763496143959,0.0,0.15023474178403756,2,DKI Jakarta
0.4615721416270177,0.03856041131105399,0.8225743539736713,0.7962441314553991,0,Jawa Barat
0.2548527394261362,0.0,0.9425158459288152,0.8150234741784037,0,Jawa Tengah
0.1849149128696109,0.390745501285347,0.02832764505119454,0.048826291079812206,1,Daerah Istimewa Yogyakarta
0.7559765317142941,0.10282776349614395,0.9999999999999999,1.0,0,Jawa Timur
0.09419422633468577,0.06940874035989716,0.1666991711360312,0.13802816901408452,1,Banten
0.08219737879097463,0.12596401028277635,0.034032179424670884,0.07323943661971832,1,Bali
0.17674187804664468,0.26478149100257065,0.09351535836177474,0.10704225352112676,1,Nusa Tenggara Barat
0.17107913249073237,0.23393316195372751,0.1666991711360312,0.2488262910798122,1,Nusa Tenggara Timur
0.1581482238243965,0.23393316195372751,0.13525109702584104,0.2075117370892019,1,Kalimantan Barat
0.15479144166496395,0.2853470437017994,0.1311067771818625,0.13051643192488263,1,Kalimantan Tengah
0.06628915029627251,0.1928020565552699,0.1438810336421258,0.1624413145539906,1,Kalimantan Selatan
0.17195481479319302,0.38303341902313626,0.07757191613846903,0.1323943661971831,1,Kalimantan Timur
0.0,0.07712082262210795,0.0023890784982935134,0.003755868544600943,1,Kalimantan Utara
0.2875448787180011,0.9999999999999999,0.17610921501706484,0.1051643192488263,3,Sulawesi Utara
0.2622084707668058,0.74293059125964,0.16733300828863967,0.21690140845070421,3,Sulawesi Tengah
0.6159549315508333,0.5861182519280205,0.23954168698196002,0.29953051643192485,2,Sulawesi Selatan
0.025307218541113286,0.05655526992287918,0.13013164310092637,0.13427230046948357,1,Sulawesi Tenggara
0.07122216060013427,0.5552699228791773,0.026036079960994628,0.014084507042253516,3,Gorontalo
0.04147815172655361,0.30077120822622105,0.015309605070697216,0.0,1,Sulawesi Barat
0.06874106074316239,0.33676092544987146,0.033398342272062405,0.06854460093896714,1,Maluku
0.00951574768673925,0.08483290488431877,0.042905899561189655,0.05539906103286385,1,Maluku Utara
0.08987419364254648,0.9074550128534703,0.010433934666016574,0.04788732394366198,3,Papua Barat
0.2018447707171838,0.5064267352185089,0.07596294490492442,0.1699530516431925,3,Papua
